year,zip_code,is_brand,volume_sold,sale_dollars
2012,50569,1,3.45,120.06
2012,50574,0,18230.05,191092.86
2012,50574,1,18.75,672
2012,50575,0,693,9531.48
2012,50579,0,9100.87,91710.43
2012,50579,1,18,642.52
2012,50583,0,27062.26,313562.01
2012,50583,1,104.1,3262.78
2012,50585,0,7413.01,85618.62
2012,50585,1,4,130.64
2012,50588,0,119887.88,1556941.37
2012,50588,1,633.21,21385.92
2012,50590,0,3568.9,47038.66
2012,50590,1,21,715.44
2012,50595,0,57863.24,677603.6
2012,50595,1,123.62,4332.86
2012,50597,0,12027.73,131651.35
2012,50597,1,4,130.64
2012,50598,0,2377.13,32818.08
2012,50598,1,15.5,511.16
2012,50601,0,4390.38,45065.22
2012,50601,1,1.5,53.92
2012,50602,0,5630.15,61194.83
2012,50602,1,6.75,242.64
2012,50603,0,931,12163.26
2012,50606,0,3223.97,32837.51
2012,50613,0,341263.61,4689143.87
2012,50613,1,2639.55,90129.14
2012,50616,0,78069.33,942796.21
2012,50616,1,323.43,11430.54
2012,50619,0,2298.45,25796.34
2012,50621,0,4321.27,50731.26
2012,50622,0,7737.25,89314.59
2012,50627,0,23375.1,257832.57
2012,50627,1,65.87,2301.12
2012,50628,0,3677.45,48101.18
2012,50628,1,12,391.92
2012,50629,0,6263.27,72908.05
2012,50629,1,30,1057.68
2012,50630,0,3991.35,38877.17
2012,50630,1,2.25,80.88
2012,50635,0,3403.5,35203.61
2012,50636,0,3564.98,37736.43
2012,50636,1,6.75,242.64
2012,50638,0,16519.22,196536.21
2012,50638,1,19,656.98
2012,50643,0,1098.76,14538.94
2012,50644,0,59338.35,733157.55
2012,50644,1,204.75,7044.26
2012,50648,0,8183.75,101273.11
2012,50648,1,43.75,1460.92
2012,50651,0,11518.58,146512.4
2012,50651,1,86.27,2943.72
2012,50658,0,741,9378.62
2012,50659,0,21996.2,242256.95
2012,50659,1,85.72,2994.65
2012,50662,0,55532.42,653939.32
2012,50662,1,126.35,4528.59
2012,50665,0,9482.25,98745.03
2012,50665,1,18,635.04
2012,50669,0,2970,32337.6
2012,50674,0,7986.97,94464.84
2012,50674,1,13,447.67
2012,50675,0,7085.75,78296.42
2012,50675,1,10.5,374.44
2012,50676,0,19198.85,235410.8
2012,50676,1,40,1316.26
2012,50677,0,107947.12,1340523.48
2012,50677,1,452.6,15421.16
2012,50680,0,1507.41,17477.82
2012,50682,0,6375.75,82526.22
2012,50682,1,4,130.64
2012,50701,0,190837.78,2631652.95
2012,50701,1,1496.51,51410.64
2012,50702,0,302652.81,3942795.85
2012,50702,1,2183.21,73299.96
2012,50703,0,185384.64,2961296.37
2012,50703,1,2935.75,101318.15
2012,50707,0,37999.05,498836.12
2012,50707,1,394.39,12943.69
2012,50801,0,66126.93,809805.45
2012,50801,1,209.25,7260.96
2012,50830,0,2606.57,33890.92
2012,50833,0,5202.2,63461.5
2012,50833,1,6,213.68
2012,50841,0,7423.52,96277.58
2012,50841,1,11.1,397.31
2012,50846,0,4906.5,58941.64
2012,50846,1,9,323.52
2012,50849,0,10679.6,124785.33
2012,50849,1,19.49,685.4
2012,50851,0,3244.37,35861.68
2012,50851,1,2.25,76.88
2012,50854,0,10751.28,130335.92
2012,50854,1,8.25,293.56
2012,50864,0,795,10529.25
2012,51001,0,1768,22472.2
2012,51003,0,16089.14,200715.97
2012,51003,1,189,6736.2
2012,51004,0,9847.14,146092.77
2012,51004,1,83.62,2744.36
2012,51012,0,56376.14,676814.98
2012,51012,1,130.92,4543.37
2012,51023,0,11263.34,128222.62
2012,51023,1,13,424.58
2012,51025,0,19909.66,268276.27
2012,51025,1,83.8,2673.53
2012,51027,0,866,12051.74
2012,51027,1,5,163.3
2012,51028,0,5533.63,60342.8
2012,51028,1,4,130.64
2012,51031,0,98752.46,1268562.57
2012,51031,1,515.96,18056.43
2012,51034,0,18195.13,235977.57
2012,51034,1,82.12,2721.43
2012,51035,0,2550.45,30115.92
2012,51040,0,21577.88,270911.63
2012,51040,1,23.01,836.48
2012,51041,0,18655.38,241630.04
2012,51041,1,144,5040.33
