year,zip_code,is_brand,volume_sold,sale_dollars
2012,50228,1,134.10000000000002,1938.9300000000003
2012,50244,0,2985.08,41605.25
2012,50244,1,630.82,6357.1400000000012
2012,50247,0,3797.349999999999,45605.58
2012,50247,1,1032.0,8993.72
2012,50248,0,13121.350000000002,175471.80000000002
2012,50248,1,5588.11,49121.45
2012,50249,0,2934.45,35550.16
2012,50249,1,602.99,6566.3499999999995
2012,50250,0,10478.539999999999,139700.0
2012,50250,1,3524.0900000000006,35112.93
2012,50251,1,145.64999999999998,1768.7499999999998
2012,50251,0,1009.8299999999999,15529.84
2012,50261,1,145.65,1930.7799999999997
2012,50261,0,1221.48,17540.670000000002
2012,50263,0,20896.849999999995,307334.59999999992
2012,50263,1,6410.119999999999,64551.049999999981
2012,50265,1,61374.969999999994,817692.97
2012,50265,0,203248.2900000001,2938057.66
